Quebra;Código do Produto;Descrição do Produto;Embalagem;Código da Situação Fiscal;Venda Anterior;Oferta Anterior;Funcionário Anterior;Venda Atual;Oferta Atual;Funcionário Atual;Dias;Preço;%
NENHUMA;9582;VINHO B. HORIZONTE 750ML;UN;1;;;;32,99;24,99;16;;;
NENHUMA;14565;VINHO B. LA LINDA CHARDONNAY UNOAKED 750ML;UN;1;;;;89,99;74,99;23;;;
NENHUMA;14666;VINHO B. LA UMBRA FETEASCA REGALA 750ML;UN;1;;;;72,99;59,99;23;;;
NENHUMA;3861;VINHO B. LATITUD 33 CHARDONNAY 750ML;UN;1;;;;43,90;49,99;16;;;
NENHUMA;15832;VINHO B. LATITUD 33 SAUV. B. 750ML;UN;1;;;;54,99;49,99;16;;;
NENHUMA;9931;VINHO B. MI TERRUNO TORRONTES 750ML;UN;1;;;;69,99;57,99;16;;;
NENHUMA;5276;VINHO B. MONTECCHIO LAMBRUSCO 750ML;UN;1;;;;41,99;39,99;16;;;
NENHUMA;11947;VINHO B. NOBILDUCA P.GRIGIO D.VENEZIE 750ML;UN;1;;;;69,99;59,99;16;;;
NENHUMA;15843;VINHO B. NUCOS RAPAZ SAUVIGNON BLANC 750ML;UN;1;;;;27,99;21,99;16;;;
NENHUMA;9533;VINHO B. PACHECA DOURO 750ML;UN;1;;;;49,99;49,99;16;;;
NENHUMA;14903;VINHO B. PORTA 6 750ML;UN;324;;;;59,99;59,99;16;;;
NENHUMA;13879;VINHO B. PUERTO REAL RES. CHARDONNAY 750ML;UN;1;;;;29,99;26,99;16;;;
NENHUMA;9083;VINHO B. PUERTO REAL RES. SAUV. BLANC. 750ML;UN;1;;;;27,99;26,99;16;;;
NENHUMA;15342;VINHO B. STA CAROLINA ICE RES. 750ML;UN;1;;;;26,99;25,99;16;;;
NENHUMA;482;VINHO B. STA CAROLINA RES. SAUV. BLANC 750ML;UN;1;;;;25,99;25,99;23;;;
NENHUMA;8566;VINHO B. STA CAROLINA SUAVE. RES. 750ML;UN;1;;;;25,99;25,99;23;;;
NENHUMA;11691;VINHO B. VILLACARDETO P. GRIGIO 750ML;UN;1;;;;81,99;69,99;16;;;
NENHUMA;15896;VINHO B.120 SAUV.BLANC RES.ESP.750ML;UN;1;;;;49,99;39,99;16;;;
NENHUMA;15010;VINHO B.ANT. ROSONE.T.CHARD.750ML;UN;1;;;;72,99;59,99;16;;;
NENHUMA;15960;VINHO B.GRACIEMA SED. ICE;UN;1;;;;23,99;23,99;16;;;
NENHUMA;12233;VINHO P. TAYLOR'S F.RUBY 750ML;UN;1;;;;116,99;94,99;16;;;
NENHUMA;14396;VINHO P.TAYLOR'S F. TAWNY 750ML;UN;1;;;;116,99;94,99;16;;;
NENHUMA;9581;VINHO R. HORIZONTE 750ML;UN;1;;;;32,99;24,99;16;;;
NENHUMA;5395;VINHO R. LA LINDA ROSE MALBEC 750ML;UN;1;;;;89,99;74,99;23;;;
NENHUMA;14665;VINHO R. LA UMBRA MERLOT 750ML;UN;1;;;;72,99;59,99;23;;;
NENHUMA;15834;VINHO R. LATITUD 33 MALBEC 750ML;UN;1;;;;54,99;49,99;16;;;
